 «СМЕРШ.» Х/ф (16+)| «СМЕРШ.» Т/с (16+)
 «Коридор бессмертия» Х/ф (16+)| «Коридор бессмертия» Х/ф (12+)
 «Русалка» Х/ф (16+)| «Русалка» Х/ф (12+)
«Пять вечеров» Х/ф|«Пять вечеров» Х/ф (12+)
 «Кин-дза-дза» Х/ф (12+)| «Кин-дза-дза» Х/ф (0+)
Зелёный Шершен|Зелёный шершен
Любит нe люби|Любит - нe люби
 «Особь» Х/ф (18+)| «Особь» Х/ф (16+)
 «О чём говорят мужчины» Х/ф (18+)| «О чём говорят мужчины» Х/ф (16+)
 «Москва слезам не верит» Х/ф (0+)| «Москва слезам не верит» Х/ф (12+)
 «Большая перемена» Т/с (12+)| «Большая перемена» Т/с (0+)
 «Скорость: Автобус 657» Х/ф (16+)| «Скорость: Автобус 657» Х/ф (18+)
Новый гулливер|Новый Гулливер
«Человек из Рио» Х/ф|«Человек из Рио» Х/ф (16+)
 «Однажды двадцать лет спустя» Х/ф (12+)| «Однажды двадцать лет спустя» Х/ф (6+)
 «Ветреный» Х/ф (16+)| «Ветреный» Т/с (16+)
 «Проклятие монахини» Х/ф (16+)| «Проклятие монахини» Х/ф (18+)
 «Последний бронепоезд» Х/ф (16+)| «Последний бронепоезд» Х/ф (12+)
 «Немец» Т/с (16+)| «Немец» Т/с (12+)
 «Доспехи Бога» Х/ф (16+)| «Доспехи Бога» Х/ф (12+)
 «Доспехи Бога 2: Операция Кондор» Х/ф (16+)| «Доспехи Бога 2: Операция Кондор» Х/ф (12+)
 «Акселератка» Х/ф (12+)| «Акселератка» Х/ф (0+)
 «Операция «Ы» и другие приключения Шурика» Х/ф (12+)| «Операция «Ы» и другие приключения Шурика» Х/ф (0+)
 «Человек с бульвара Капуцинов» Х/ф (16+)| «Человек с бульвара Капуцинов» Х/ф (0+)
 «Комедия давно минувших дней» Х/ф (12+)| «Комедия давно минувших дней» Х/ф (6+)
 «Артистка из Грибова» Х/ф (12+)| «Артистка из Грибова» Х/ф (0+)
 « |» 
«Первая любовь» Х/ф|«Первая любовь» Х/ф (12+)
«Черная кошка, белый кот» Х/ф|«Черная кошка, белый кот» Х/ф (16+)
 «Пираньи 3DD» Х/ф (16+)| «Пираньи 3DD» Х/ф (18+)
 «22 минуты» Х/ф (16+)| «22 минуты» Х/ф (12+)
 «Живое» Х/ф (16+)| «Живое» Х/ф (18+)
 «Добро пожаловать, или Посторонним вход воспрещен» Х/ф (12+)| «Добро пожаловать, или Посторонним вход воспрещен» Х/ф (0+)
 «Крепкий орешек» Х/ф (12+)| «Крепкий орешек» Х/ф (0+)
 «Неуловимые мстители» Х/ф (12+)| «Неуловимые мстители» Х/ф (6+)
 «Новые приключения неуловимых» Х/ф (12+)| «Новые приключения неуловимых» Х/ф (6+)
 «Корона Российской империи, или снова неуловимые» Х/ф (12+)| «Корона Российской империи, или снова неуловимые» Х/ф (6+)
 «Экипаж» Х/ф (16+)| «Экипаж» Х/ф (6+)
, или снова |, или Снова 
 «Звезды и солдаты» Х/ф (16+)| «Звезды и солдаты» Х/ф (12+)
 «Ирония судьбы, или С легким паром!» Х/ф (12+)| «Ирония судьбы, или С легким паром!» Х/ф (0+)
 «Формула любви» Х/ф (12+)| «Формула любви» Х/ф (0+)
Подготовка к акции «Бессмертный полк»| «Формула любви» Х/ф (0+)
« |«
«Забытое ремесло» Д/с (12+)|«Забытое ремесло» Д/с
